Day,Sales,Trading Profit,Operating Expense,Net Profit
11,780134,-421818,812716,-1233507
12,819749,-440121,866848,-1305428
13,960224,-1054267,1139826,-2192295
14,1000865,-1031691,1206589,-2235326
15,2002169,-99079,1259880,-1358060
16,2113501,-39636,1313586,-1351745
17,2177238,-5220,1419021,-1421448
18,3324702,678049,1593486,-914699
19,3474060,782352,1652410,-868661
20,3526650,813154,1713404,-896819
21,3565010,157524,1849742,-1688787
22,3724840,304245,1911211,-1603026
23,3819503,378227,1971962,-1589795
24,4035076,-63041,2032713,-2091814
25,4928537,818483,2093364,-1270941
26,5075857,952918,2637400,-1680457
27,6596670,1694759,2927290,-1230561
28,6673584,1764073,2988061,-1222018
29,6754318,1035342,3155034,-2115582
30,6950842,982322,3264581,-2278149
31,7000072,783012,3343521,-2556399
32,7357920,1120951,3407556,-2282495
33,7602872,1270055,3666491,-2392326
34,7679104,1313972,3735569,-2417487
35,8662609,2285205,3883705,-1595418
36,8767077,2046922,4359421,-2308389
37,10445724,3632981,4482051,-845988
38,10749591,3287713,5355438,-2063615
39,11692854,4216312,5427032,-1207638
40,11765999,4055654,5499711,-1439947
41,11963050,4227509,5598748,-1367129
42,12219142,4431646,5758574,-1322818
43,12251009,4178149,5820667,-1638408
44,12347328,3964770,5877040,-1908160
45,12471699,4059489,6055955,-1992356
46,13107814,4687835,6193368,-1501423
47,13189551,4761663,6469058,-1703285
48,13208453,4740359,6546819,-1802350
49,13380309,4902739,6670561,-1763712
50,13415280,4913675,6748137,-1830352
51,13601989,5087607,6826095,-1734378
52,14221532,5649743,6948145,-1295320
53,14404254,5408629,7512492,-2100267
54,14512587,5497503,7620119,-2119020
55,14549121,5531453,7708545,-2173496
56,14693287,5673082,7786226,-2109548
57,14805427,4674082,8038521,-3360586
58,14832143,4687304,8116572,-3425415
59,14927827,4767283,8194836,-3423508
60,14961662,4786201,8273163,-3482917
61,14995706,4593316,8398066,-3800673
62,15688667,5271184,8470454,-3195193
63,15872233,5439969,8575181,-3132162
64,15906131,5460297,8630789,-3166382
65,17769577,7248457,8870054,-1618001
66,17816321,6997864,9004382,-2002922
67,18003681,7167858,9082265,-1910554
68,18156996,7294185,9156975,-1858937
69,18205691,6487914,9391266,-2899371
70,18389187,6607948,9466887,-2854958
71,18536778,6723965,9537589,-2809643
72,18693078,6871028,9638154,-2763145
73,19010907,7187559,9803848,-2612757
74,19440628,7266833,10005156,-2734213
75,19443412,7104460,10101082,-2992512
76,20121626,7781875,10170090,-2385133
77,20124026,7763519,10234676,-2467561
78,20777808,8420169,10336817,-1912795
79,20809678,8011034,10401723,-2386836
80,21351305,8158434,10850258,-2687971
81,22029413,8799858,10945319,-2142636
82,22490081,9195978,11572787,-2372699
83,22519336,9220400,11620770,-2396260
84,22665662,8252875,11707235,-3450250
85,22706334,8262982,11811742,-3544650
86,22738041,8280899,11878109,-3593100
87,22818569,8351464,11922821,-3567247
88,22938326,8461126,11989119,-3523883
89,22983037,8496321,12099043,-3598612
90,23010213,8514006,12195441,-3677325
